Time,----------,RSRP,RSRQ,RSSI,SINR0,PCI,DL EARFCN,Bandwidth,TAC,Tx Antennas,Pmax,QRxLevMin,Intra PCI,Inter Freq./ PCI,PLMNID (MCC/MNC),eNB/Sector ID,eNB,RF Band (LTE),CP distribution,Timing advance,Carrier Aggregation DL,EMM State,QCI,Num of Subframes,Avg RB count,Sched Thrpt,PDSCH Thrpt,Bytes Transferred,BLER,Num of TBs,Average TB Size,Num of New TBs,Num ACKs,TM mode distribution,Reporting Mode,CQI0/CQI1,PUCCH Tx power,Bytes Transferred,Sched Thrpt,PUSCH Thrpt,Retransmission Rate,Average TB Size,Number of TBs,TxPower,Num BPSK (LTE UL),Num ACKs,BPSK Rate,Network,Operator,Technology,Forcing,Data technology,Cell Id,MCC,MNC,MCC/MNC,LAC,BTS Cell Name,PCI,DL EARFCN,SINR1,SRxLev,SNonIntraSearch,TxPower,RSRQ,RSRP,RSSI,Battery temperature,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Number of carriers DL,Average MCS Index,Transmission Mode,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),QPSK Rate,16-QAM Rate,64-QAM Rate,Rank 1,Num of Recombined,Max Num of Layers,Num QPSK (LTE UL),Num 16QAM (LTE UL),Num 64QAM (LTE UL),Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,Max bit rate UL,Max bit rate DL,Guaranteed bit rate UL,Guaranteed bit rate DL,MaxTxPower,SIntraSearch,Num NACKs,Rank 2,BTS Cell Name 2
2020-01-27 11:22:50.80,,-85.7,-15.0,-50.2,6.7,493,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,14,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,493,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.80,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,14,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.90,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,,,,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.95,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),,,,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.170,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),0,8 / 0,7,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.270,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),1,7.9 / 0,9,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.275,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,7,3 (100%),1,8 / 0,9,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,0,0.0,
2020-01-27 11:22:50.275,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,14,3 (100%),1,8 / 0,9,805,12,12,0,80,10,14,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,14,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,1.0,9.0,0.0,0,10.0,90.0,0.0,,,,,23,0,4,0.0,
2020-01-27 11:22:50.290,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,14,3 (100%),1,8 / 0,9,493,7,7,0,27,18,20,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,20,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,15.0,3.0,0.0,0,83.3,16.7,0.0,,,,,23,0,4,0.0,
2020-01-27 11:22:50.440,,-85.7,-15.0,-50.2,6.7,478,2325,15,5006,2,0,-128,,,732/103,49 / 102,49,LTE Band IV - AWS,"CP Normal (100%), CP Extended (0%)",,,registered (normal service),,14,10,8,8,595,0,14,42.5,14,14,3 (100%),1,7.6 / 0,9,493,7,7,0,27,18,20,0.0,9,0.0,Home network,TIGO,LTE,LTE (Band VII - 2600),LTE,12646,732,103,732 / 103,5006,,478,2325,-1.0,43,0,20,-15.0,-85.7,-50.2,31.1,,,,,1,0.9,OL SM (3),14.0,0.0,0.0,100.0,0.0,0.0,100.0,0,4,15.0,3.0,0.0,0,83.3,16.7,0.0,,,,,23,0,4,0.0,
